date,region,product_category,units_sold,unit_price,revenue,discount_applied,marketing_spend,customer_segment,returned_units
2021-01-01,West,Home & Kitchen,18,71.74,1101.75,0.1468,592.78,Corporate,1
2021-01-01,South,Electronics,9,342.88,2821.46,0.0857,267.14,Small Business,0
2021-01-01,South,Sports & Outdoors,8,65.36,496.74,0.05,199.27,Small Business,0
2021-01-01,South,Electronics,11,255.04,2561.93,0.0868,243.14,Consumer,1
2021-01-01,Central,Clothing,8,55.56,390.21,0.1221,216.32,Corporate,0
2021-01-01,West,Sports & Outdoors,15,57.96,740.99,0.1477,409.28,Corporate,0
2021-01-01,Central,Sports & Outdoors,5,62.47,262.28,0.1603,167.48,Consumer,0
2021-01-01,Central,Home & Kitchen,9,86.49,505.97,0.35,160.79,Corporate,0
2021-01-01,South,Sports & Outdoors,10,66.68,566.38,0.1506,189.42,Corporate,0
2021-01-01,East,Clothing,8,57.03,400.72,0.1217,190.8,Consumer,0
2021-01-01,South,Electronics,9,316.48,2332.77,0.181,206.07,Consumer,1
2021-01-01,West,Sports & Outdoors,15,56.15,776.64,0.0779,480.8,Consumer,1
2021-01-01,North,Sports & Outdoors,13,67.17,847.89,0.029,281.58,Small Business,0
2021-01-01,East,Electronics,6,328.38,1656.41,0.1593,195.14,Consumer,0
2021-01-02,Central,Electronics,8,300.78,2235.64,0.0709,173.84,Consumer,0
2021-01-02,Central,Electronics,10,322.28,2846.38,0.1168,217.03,Consumer,0
2021-01-02,East,Electronics,10,299.32,2411.32,0.1944,225.27,Consumer,0
2021-01-02,South,Clothing,14,52.27,581.4,0.2055,294.85,Consumer,1
2021-01-02,Central,Sports & Outdoors,5,62.45,244.59,0.2167,154.28,Corporate,0
2021-01-02,North,Sports & Outdoors,14,59.96,713.1,0.1505,361.72,Corporate,0
2021-01-02,North,Electronics,15,330.38,4123.14,0.168,384.26,Consumer,0
2021-01-02,West,Electronics,13,258.66,2702.51,0.1963,362.56,Consumer,1
2021-01-02,Central,Sports & Outdoors,9,73.48,587.45,0.1117,198.26,Small Business,0
2021-01-03,North,Clothing,17,42.71,660.65,0.0901,370.03,Consumer,0
2021-01-03,West,Clothing,14,44.26,515.79,0.1676,518.28,Corporate,0
2021-01-03,Central,Clothing,7,45.71,284.04,0.1123,202.1,Consumer,0
2021-01-03,Central,Sports & Outdoors,9,66.46,419.54,0.2986,198.37,Corporate,0
2021-01-03,East,Home & Kitchen,14,89.27,1106.56,0.1146,253.9,Consumer,1
2021-01-03,East,Clothing,9,46.09,372.79,0.1013,217.76,Small Business,0
2021-01-03,South,Home & Kitchen,12,76.93,734.93,0.2039,239.25,Consumer,1
2021-01-03,East,Electronics,12,296.14,3185.52,0.1036,172.03,Consumer,0
2021-01-03,West,Home & Kitchen,18,74.87,1201.03,0.1088,446.45,Consumer,0
2021-01-03,Central,Electronics,5,311.5,1391.94,0.1063,181.9,Consumer,0
2021-01-03,South,Home & Kitchen,15,85.77,1082.37,0.1587,323.31,Consumer,1
2021-01-03,Central,Clothing,10,46.55,420.77,0.0961,219.0,Consumer,1
2021-01-04,North,Home & Kitchen,13,82.01,956.43,0.1029,337.62,Consumer,1
2021-01-04,South,Clothing,12,50.83,509.74,0.1643,206.78,Corporate,0
2021-01-04,West,Sports & Outdoors,9,67.9,564.47,0.0763,348.21,Consumer,1
2021-01-04,West,Clothing,13,48.16,559.28,0.1067,394.58,Corporate,0
2021-01-04,West,Home & Kitchen,11,90.33,820.34,0.1744,462.26,Corporate,0
2021-01-04,Central,Electronics,8,340.54,2177.0,0.2009,160.01,Consumer,0
2021-01-04,West,Electronics,11,303.08,3150.85,0.0549,326.23,Consumer,1
2021-01-04,East,Sports & Outdoors,9,63.29,427.04,0.2503,229.95,Corporate,0
2021-01-04,South,Home & Kitchen,7,70.03,389.13,0.2062,342.61,Corporate,0
2021-01-05,West,Home & Kitchen,10,76.4,516.08,0.3245,443.58,Consumer,0
2021-01-05,West,Clothing,15,46.09,585.5,0.1531,539.28,Consumer,1
2021-01-05,West,Sports & Outdoors,12,68.84,779.16,0.0568,305.42,Consumer,0
2021-01-05,East,Sports & Outdoors,9,56.97,434.23,0.1531,222.76,Corporate,0
2021-01-05,Central,Electronics,7,337.17,1958.72,0.1701,152.34,Consumer,0
2021-01-05,South,Electronics,7,315.44,1699.34,0.2304,247.49,Corporate,0
2021-01-05,Central,Home & Kitchen,7,91.27,531.36,0.1683,177.34,Corporate,0
2021-01-05,Central,Electronics,6,307.29,1536.2,0.1668,199.29,Small Business,0
2021-01-05,South,Sports & Outdoors,11,74.47,707.76,0.136,248.51,Consumer,0
2021-01-06,Central,Clothing,7,56.48,317.16,0.1978,213.89,Corporate,0
2021-01-06,East,Clothing,10,46.31,385.48,0.1676,215.08,Consumer,0
2021-01-06,North,Clothing,10,50.08,432.64,0.1361,366.43,Corporate,0
2021-01-06,West,Clothing,15,46.69,618.83,0.1164,451.71,Corporate,0
2021-01-06,East,Sports & Outdoors,10,72.72,585.69,0.1946,194.1,Corporate,0
2021-01-06,Central,Electronics,5,277.13,1218.82,0.1204,209.72,Consumer,0
2021-01-06,Central,Clothing,5,55.85,224.8,0.195,148.77,Consumer,0
2021-01-06,West,Home & Kitchen,18,68.72,1074.05,0.1317,403.75,Corporate,0
2021-01-06,West,Sports & Outdoors,11,64.69,645.48,0.0929,299.65,Consumer,0
2021-01-06,West,Electronics,13,316.89,3747.57,0.0903,497.34,Consumer,0
2021-01-06,Central,Electronics,5,270.2,1135.11,0.1598,163.12,Consumer,0
2021-01-06,West,Sports & Outdoors,13,62.63,648.26,0.2038,389.66,Corporate,0
2021-01-07,West,Home & Kitchen,15,85.66,1138.94,0.1136,389.92,Corporate,0
2021-01-07,Central,Home & Kitchen,8,82.28,588.01,0.1067,170.51,Small Business,0
2021-01-07,East,Sports & Outdoors,9,60.65,485.21,0.1111,191.0,Consumer,0
2021-01-07,Central,Clothing,6,53.55,297.72,0.0734,157.16,Consumer,0
2021-01-07,Central,Home & Kitchen,8,77.09,563.74,0.0859,161.43,Consumer,0
2021-01-07,West,Clothing,12,53.38,583.87,0.0885,342.68,Consumer,1
2021-01-07,North,Sports & Outdoors,12,65.03,729.56,0.0651,245.73,Consumer,1
2021-01-07,Central,Electronics,5,321.94,1373.24,0.1469,161.18,Consumer,0
2021-01-07,West,Home & Kitchen,14,85.52,1095.87,0.0847,537.95,Consumer,1
2021-01-07,West,Sports & Outdoors,11,69.82,714.8,0.0693,398.49,Consumer,1
2021-01-07,North,Clothing,10,46.03,373.53,0.1885,409.31,Corporate,0
2021-01-07,West,Clothing,13,45.21,516.97,0.1204,550.64,Consumer,0
2021-01-08,Central,Sports & Outdoors,7,63.46,405.0,0.0883,143.66,Consumer,0
2021-01-08,North,Sports & Outdoors,10,57.0,528.11,0.0735,342.94,Small Business,0
2021-01-08,South,Home & Kitchen,13,82.4,1011.21,0.056,263.64,Small Business,0
2021-01-08,North,Clothing,17,49.96,730.5,0.1399,301.23,Consumer,0
2021-01-08,East,Electronics,9,278.2,2142.75,0.1442,175.53,Consumer,0
2021-01-08,West,Sports & Outdoors,18,73.65,1102.45,0.1684,415.98,Corporate,1
2021-01-08,South,Sports & Outdoors,11,59.43,603.92,0.0762,208.65,Small Business,0
2021-01-08,East,Electronics,7,315.46,1992.7,0.0976,167.94,Consumer,0
2021-01-08,North,Electronics,15,279.5,3715.81,0.1137,409.46,Consumer,1
2021-01-08,South,Sports & Outdoors,7,70.36,320.14,0.35,234.28,Corporate,0
2021-01-08,East,Clothing,12,45.78,456.63,0.1688,189.24,Consumer,1
2021-01-08,North,Electronics,13,318.43,3852.3,0.0694,262.91,Consumer,1
2021-01-09,North,Home & Kitchen,14,72.47,928.14,0.0852,476.76,Consumer,1
2021-01-09,Central,Electronics,8,299.2,1710.71,0.2853,209.56,Consumer,1
2021-01-09,Central,Clothing,11,57.33,536.54,0.1492,162.24,Corporate,0
2021-01-09,South,Electronics,11,341.58,3338.43,0.1115,264.86,Consumer,0
2021-01-09,East,Sports & Outdoors,7,72.57,440.88,0.1321,186.07,Consumer,0
2021-01-09,South,Electronics,11,289.58,3018.15,0.0525,194.7,Small Business,0
2021-01-09,West,Electronics,18,331.42,4748.59,0.204,513.25,Corporate,0
2021-01-09,East,Clothing,13,50.42,598.76,0.0865,267.04,Consumer,1
2021-01-09,West,Sports & Outdoors,18,65.74,949.97,0.1972,463.45,Corporate,0
2021-01-09,West,Home & Kitchen,23,75.65,1661.13,0.0453,527.11,Small Business,1
2021-01-09,West,Home & Kitchen,19,79.35,1390.66,0.0776,387.67,Small Business,1
2021-01-09,West,Electronics,17,320.89,4728.51,0.1332,465.27,Consumer,1
2021-01-09,West,Home & Kitchen,22,91.08,1724.64,0.1393,589.96,Consumer,2
2021-01-10,North,Clothing,17,50.88,696.03,0.1953,346.99,Corporate,0
2021-01-10,West,Sports & Outdoors,17,73.82,1085.27,0.1352,312.54,Corporate,0
2021-01-10,North,Clothing,13,54.45,530.11,0.2511,354.84,Corporate,0
2021-01-10,West,Sports & Outdoors,18,74.11,1176.97,0.1177,401.39,Consumer,1
2021-01-10,North,Electronics,13,332.78,3793.59,0.1231,410.34,Corporate,0
2021-01-10,North,Clothing,12,55.51,546.95,0.1789,417.08,Consumer,1
2021-01-10,West,Home & Kitchen,21,84.39,1523.02,0.1406,526.48,Consumer,1
2021-01-10,South,Electronics,12,297.61,3196.33,0.105,230.74,Corporate,0
2021-01-10,South,Home & Kitchen,16,76.2,1026.81,0.1578,306.3,Consumer,0
2021-01-10,East,Home & Kitchen,8,75.82,554.88,0.0852,278.24,Consumer,0
2021-01-10,West,Sports & Outdoors,18,72.24,1129.46,0.1314,452.0,Consumer,2
2021-01-10,South,Clothing,14,46.17,566.88,0.123,318.95,Consumer,0
2021-01-11,West,Electronics,10,310.53,2722.73,0.1232,469.64,Consumer,1
2021-01-11,West,Home & Kitchen,15,77.51,975.35,0.1611,439.41,Corporate,0
2021-01-11,East,Clothing,7,50.21,268.56,0.2359,277.81,Small Business,0
2021-01-11,West,Home & Kitchen,16,77.72,1140.68,0.0827,459.13,Consumer,0
2021-01-11,North,Clothing,14,56.0,629.79,0.1967,320.75,Consumer,1
2021-01-11,Central,Home & Kitchen,8,83.08,571.13,0.1407,201.4,Consumer,0
2021-01-11,West,Electronics,16,313.52,4103.35,0.182,369.11,Small Business,1
2021-01-11,North,Electronics,10,297.31,2465.59,0.1707,290.79,Corporate,0
2021-01-11,West,Sports & Outdoors,13,64.06,734.01,0.1186,304.27,Consumer,0
2021-01-11,North,Clothing,12,46.97,489.63,0.1313,396.05,Corporate,0
2021-01-11,South,Home & Kitchen,10,84.54,792.9,0.0621,299.1,Consumer,1
2021-01-12,Central,Clothing,5,51.75,224.54,0.1322,195.09,Consumer,0
2021-01-12,West,Sports & Outdoors,8,59.06,426.65,0.097,473.27,Small Business,0
2021-01-12,East,Clothing,10,44.12,324.41,0.2647,213.12,Small Business,0
2021-01-12,West,Sports & Outdoors,10,56.67,462.88,0.1832,366.56,Consumer,1
2021-01-12,East,Home & Kitchen,8,83.57,622.36,0.0691,225.65,Consumer,0
2021-01-12,West,Electronics,15,334.06,4522.34,0.0975,475.08,Corporate,0
2021-01-12,Central,Home & Kitchen,7,82.82,501.07,0.1357,218.95,Corporate,0
2021-01-12,West,Clothing,11,45.32,419.06,0.1594,394.94,Corporate,0
2021-01-12,North,Electronics,14,295.92,3532.63,0.1473,267.75,Corporate,0
2021-01-12,North,Home & Kitchen,11,70.12,707.61,0.0826,395.98,Consumer,1
2021-01-12,West,Sports & Outdoors,12,72.17,740.29,0.1452,396.08,Corporate,0
2021-01-12,North,Sports & Outdoors,12,66.49,677.48,0.1509,384.55,Corporate,0
2021-01-13,West,Sports & Outdoors,14,69.96,699.81,0.2855,292.74,Small Business,0
2021-01-13,South,Electronics,9,295.24,2399.42,0.097,305.29,Consumer,1
2021-01-13,North,Home & Kitchen,14,83.06,1046.67,0.0999,342.4,Consumer,1
2021-01-13,West,Electronics,14,269.33,3127.73,0.1705,394.99,Corporate,0
2021-01-13,Central,Home & Kitchen,6,77.57,449.36,0.0345,212.36,Small Business,0
2021-01-13,South,Sports & Outdoors,9,61.57,481.21,0.1316,223.54,Corporate,0
2021-01-13,North,Sports & Outdoors,11,70.96,684.63,0.1229,341.51,Small Business,0
2021-01-13,South,Home & Kitchen,10,78.27,641.97,0.1798,221.12,Corporate,0
2021-01-13,North,Electronics,11,275.71,2739.84,0.0966,272.73,Consumer,0
2021-01-13,West,Sports & Outdoors,14,57.1,718.02,0.1018,436.19,Consumer,1
2021-01-13,Central,Electronics,7,270.72,1645.84,0.1315,153.62,Corporate,0
2021-01-13,West,Electronics,16,302.01,4310.29,0.108,377.01,Small Business,1
2021-01-13,Central,Home & Kitchen,7,76.24,437.08,0.181,156.99,Consumer,0
2021-01-14,South,Electronics,8,265.92,1892.5,0.1104,188.89,Consumer,1
2021-01-14,West,Home & Kitchen,11,90.94,810.88,0.1894,545.92,Consumer,1
2021-01-14,West,Home & Kitchen,15,89.17,1127.02,0.1574,369.13,Small Business,1
2021-01-14,North,Sports & Outdoors,13,63.77,704.82,0.1498,350.9,Consumer,1
2021-01-14,East,Sports & Outdoors,6,67.95,386.38,0.0523,239.48,Small Business,0
2021-01-14,Central,Electronics,8,341.35,2334.29,0.1452,205.13,Small Business,0
2021-01-14,North,Home & Kitchen,14,87.92,1108.28,0.0996,479.78,Consumer,1
2021-01-14,West,Clothing,11,55.79,502.49,0.1812,523.7,Consumer,1
2021-01-14,North,Clothing,10,52.86,451.21,0.1464,322.65,Consumer,0
2021-01-14,West,Home & Kitchen,11,86.73,801.1,0.1603,417.4,Consumer,0
2021-01-14,Central,Sports & Outdoors,5,66.83,295.09,0.1169,121.9,Corporate,0
2021-01-14,North,Sports & Outdoors,9,65.04,464.48,0.2065,247.94,Corporate,0
2021-01-14,East,Clothing,7,56.85,341.92,0.1408,204.04,Consumer,0
2021-01-14,West,Clothing,11,48.77,499.99,0.068,476.76,Consumer,0
2021-01-15,East,Sports & Outdoors,9,59.84,490.41,0.0894,163.16,Consumer,0
2021-01-15,East,Clothing,8,54.86,374.89,0.1458,257.47,Corporate,0
2021-01-15,South,Electronics,10,333.67,3107.8,0.0686,269.86,Consumer,0
2021-01-15,North,Home & Kitchen,17,89.26,1169.32,0.2294,300.64,Consumer,1
2021-01-15,West,Clothing,11,53.73,533.11,0.098,443.32,Corporate,0
2021-01-15,Central,Clothing,8,53.49,346.44,0.1904,192.58,Consumer,0
2021-01-15,Central,Home & Kitchen,10,85.58,736.07,0.1399,206.5,Consumer,1
2021-01-15,West,Sports & Outdoors,12,69.93,775.55,0.0758,426.13,Consumer,0
2021-01-15,Central,Clothing,10,55.19,479.49,0.1312,219.56,Corporate,0
2021-01-15,South,Electronics,11,289.97,2616.49,0.1797,244.52,Consumer,0
2021-01-15,North,Home & Kitchen,16,81.97,1106.92,0.156,367.65,Small Business,1
2021-01-15,Central,Home & Kitchen,8,71.85,443.52,0.2284,177.79,Small Business,0
2021-01-16,East,Sports & Outdoors,9,74.34,545.95,0.184,176.35,Corporate,0
2021-01-16,North,Sports & Outdoors,15,65.88,836.81,0.1532,252.19,Consumer,1
2021-01-16,West,Electronics,17,310.15,4068.83,0.2283,454.48,Corporate,0
2021-01-16,Central,Electronics,6,275.27,1391.49,0.1575,141.29,Consumer,0
2021-01-16,South,Clothing,11,55.99,544.02,0.1167,319.83,Consumer,0
2021-01-16,North,Home & Kitchen,17,86.19,1264.93,0.1367,489.33,Small Business,1
2021-01-16,North,Electronics,16,341.08,4554.1,0.1655,305.72,Corporate,1
2021-01-16,East,Electronics,10,259.48,2222.45,0.1435,163.51,Corporate,0
2021-01-16,West,Clothing,15,56.6,754.17,0.1117,379.37,Consumer,1
2021-01-16,West,Home & Kitchen,24,85.92,1664.51,0.1928,528.06,Corporate,1
2021-01-16,South,Sports & Outdoors,10,71.71,633.49,0.1166,241.12,Consumer,0
2021-01-17,West,Electronics,17,333.67,5359.27,0.0552,362.61,Small Business,0
2021-01-17,South,Clothing,10,45.68,421.95,0.0763,311.22,Consumer,1
2021-01-17,North,Sports & Outdoors,11,55.32,546.76,0.1015,255.56,Consumer,0
2021-01-17,Central,Home & Kitchen,10,83.62,753.67,0.0987,247.91,Consumer,0
2021-01-17,East,Electronics,11,334.17,3077.81,0.1627,233.0,Consumer,0
2021-01-17,North,Clothing,12,55.36,597.09,0.1012,369.59,Corporate,0
2021-01-17,East,Sports & Outdoors,8,57.63,435.59,0.0552,149.11,Small Business,0
